geo_id,city,population,cases,date
610345,Campbell,42470,1910,2021-03-05 19:12:09+00:00
617610,Cupertino,60614,820,2021-03-05 19:12:09+00:00
629504,Gilroy,55525,7311,2021-03-05 19:12:09+00:00
643280,Los Altos,30588,636,2021-03-05 19:12:09+00:00
643294,Los Altos Hills,8517,207,2021-03-05 19:12:09+00:00
644112,Los Gatos,30922,1107,2021-03-05 19:12:09+00:00
647766,Milpitas,77457,3356,2021-03-05 19:12:09+00:00
648956,Monte Sereno,3492,79,2021-03-05 19:12:09+00:00
649278,Morgan Hill,43876,3390,2021-03-05 19:12:09+00:00
649670,Mountain View,80993,2815,2021-03-05 19:12:09+00:00
0,Other/Unknown,0,4228,2021-03-05 19:12:09+00:00
655282,Palo Alto,67019,1366,2021-03-05 19:12:09+00:00
668000,San Jose,1026658,73320,2021-03-05 19:12:09+00:00
669084,Santa Clara,126209,5003,2021-03-05 19:12:09+00:00
670280,Saratoga,30886,588,2021-03-05 19:12:09+00:00
677000,Sunnyvale,152323,5145,2021-03-05 19:12:09+00:00
610345,Campbell,42470,1908,2021-03-03 18:38:53-08:00
617610,Cupertino,60614,819,2021-03-03 18:38:53-08:00
629504,Gilroy,55525,7297,2021-03-03 18:38:53-08:00
643280,Los Altos,30588,635,2021-03-03 18:38:53-08:00
643294,Los Altos Hills,8517,206,2021-03-03 18:38:53-08:00
644112,Los Gatos,30922,1104,2021-03-03 18:38:53-08:00
647766,Milpitas,77457,3355,2021-03-03 18:38:53-08:00
648956,Monte Sereno,3492,78,2021-03-03 18:38:53-08:00
649278,Morgan Hill,43876,3389,2021-03-03 18:38:53-08:00
649670,Mountain View,80993,2807,2021-03-03 18:38:53-08:00
0,Other/Unknown,0,4221,2021-03-03 18:38:53-08:00
655282,Palo Alto,67019,1364,2021-03-03 18:38:53-08:00
668000,San Jose,1026658,73180,2021-03-03 18:38:53-08:00
669084,Santa Clara,126209,4991,2021-03-03 18:38:53-08:00
670280,Saratoga,30886,587,2021-03-03 18:38:53-08:00
677000,Sunnyvale,152323,5135,2021-03-03 18:38:53-08:00
610345,Campbell,42470,1904,2021-03-03 13:47:43-08:00
617610,Cupertino,60614,815,2021-03-03 13:47:43-08:00
629504,Gilroy,55525,7291,2021-03-03 13:47:43-08:00
643280,Los Altos,30588,634,2021-03-03 13:47:43-08:00
643294,Los Altos Hills,8517,204,2021-03-03 13:47:43-08:00
644112,Los Gatos,30922,1102,2021-03-03 13:47:43-08:00
647766,Milpitas,77457,3356,2021-03-03 13:47:43-08:00
648956,Monte Sereno,3492,78,2021-03-03 13:47:43-08:00
649278,Morgan Hill,43876,3384,2021-03-03 13:47:43-08:00
649670,Mountain View,80993,2805,2021-03-03 13:47:43-08:00
0,Other/Unknown,0,4214,2021-03-03 13:47:43-08:00
655282,Palo Alto,67019,1360,2021-03-03 13:47:43-08:00
668000,San Jose,1026658,73068,2021-03-03 13:47:43-08:00
669084,Santa Clara,126209,4980,2021-03-03 13:47:43-08:00
670280,Saratoga,30886,586,2021-03-03 13:47:43-08:00
677000,Sunnyvale,152323,5130,2021-03-03 13:47:43-08:00
610345,Campbell,42470,1903,2021-03-01 21:39:05-08:00
617610,Cupertino,60614,815,2021-03-01 21:39:05-08:00
629504,Gilroy,55525,7275,2021-03-01 21:39:05-08:00
643280,Los Altos,30588,632,2021-03-01 21:39:05-08:00
643294,Los Altos Hills,8517,203,2021-03-01 21:39:05-08:00
644112,Los Gatos,30922,1101,2021-03-01 21:39:05-08:00
647766,Milpitas,77457,3346,2021-03-01 21:39:05-08:00
648956,Monte Sereno,3492,78,2021-03-01 21:39:05-08:00
649278,Morgan Hill,43876,3374,2021-03-01 21:39:05-08:00
649670,Mountain View,80993,2801,2021-03-01 21:39:05-08:00
0,Other/Unknown,0,4433,2021-03-01 21:39:05-08:00
655282,Palo Alto,67019,1354,2021-03-01 21:39:05-08:00
668000,San Jose,1026658,72772,2021-03-01 21:39:05-08:00
669084,Santa Clara,126209,4968,2021-03-01 21:39:05-08:00
670280,Saratoga,30886,585,2021-03-01 21:39:05-08:00
677000,Sunnyvale,152323,5115,2021-03-01 21:39:05-08:00
610345,Campbell,42470,1902,2021-03-01 15:32:01-08:00
617610,Cupertino,60614,815,2021-03-01 15:32:01-08:00
629504,Gilroy,55525,7274,2021-03-01 15:32:01-08:00
643280,Los Altos,30588,632,2021-03-01 15:32:01-08:00
643294,Los Altos Hills,8517,202,2021-03-01 15:32:01-08:00
644112,Los Gatos,30922,1100,2021-03-01 15:32:01-08:00
647766,Milpitas,77457,3350,2021-03-01 15:32:01-08:00
648956,Monte Sereno,3492,78,2021-03-01 15:32:01-08:00
649278,Morgan Hill,43876,3374,2021-03-01 15:32:01-08:00
649670,Mountain View,80993,2799,2021-03-01 15:32:01-08:00
0,Other/Unknown,0,4202,2021-03-01 15:32:01-08:00
655282,Palo Alto,67019,1359,2021-03-01 15:32:01-08:00
668000,San Jose,1026658,72867,2021-03-01 15:32:01-08:00
669084,Santa Clara,126209,4962,2021-03-01 15:32:01-08:00
670280,Saratoga,30886,586,2021-03-01 15:32:01-08:00
677000,Sunnyvale,152323,5119,2021-03-01 15:32:01-08:00
610345,Campbell,42470,1900,2021-02-28 12:11:17-08:00
617610,Cupertino,60614,815,2021-02-28 12:11:17-08:00
629504,Gilroy,55525,7263,2021-02-28 12:11:17-08:00
643280,Los Altos,30588,631,2021-02-28 12:11:17-08:00
643294,Los Altos Hills,8517,202,2021-02-28 12:11:17-08:00
644112,Los Gatos,30922,1099,2021-02-28 12:11:17-08:00
647766,Milpitas,77457,3344,2021-02-28 12:11:17-08:00
648956,Monte Sereno,3492,78,2021-02-28 12:11:17-08:00
649278,Morgan Hill,43876,3366,2021-02-28 12:11:17-08:00
649670,Mountain View,80993,2795,2021-02-28 12:11:17-08:00
0,Other/Unknown,0,4203,2021-02-28 12:11:17-08:00
655282,Palo Alto,67019,1360,2021-02-28 12:11:17-08:00
668000,San Jose,1026658,72718,2021-02-28 12:11:17-08:00
669084,Santa Clara,126209,4951,2021-02-28 12:11:17-08:00
670280,Saratoga,30886,585,2021-02-28 12:11:17-08:00
677000,Sunnyvale,152323,5112,2021-02-28 12:11:17-08:00
610345,Campbell,42470,1898,2021-02-27 16:02:18-08:00
617610,Cupertino,60614,813,2021-02-27 16:02:18-08:00
629504,Gilroy,55525,7248,2021-02-27 16:02:18-08:00
643280,Los Altos,30588,631,2021-02-27 16:02:18-08:00
643294,Los Altos Hills,8517,202,2021-02-27 16:02:18-08:00
644112,Los Gatos,30922,1099,2021-02-27 16:02:18-08:00
647766,Milpitas,77457,3336,2021-02-27 16:02:18-08:00
648956,Monte Sereno,3492,78,2021-02-27 16:02:18-08:00
649278,Morgan Hill,43876,3364,2021-02-27 16:02:18-08:00
649670,Mountain View,80993,2790,2021-02-27 16:02:18-08:00
0,Other/Unknown,0,4204,2021-02-27 16:02:18-08:00
655282,Palo Alto,67019,1360,2021-02-27 16:02:18-08:00
668000,San Jose,1026658,72583,2021-02-27 16:02:18-08:00
669084,Santa Clara,126209,4945,2021-02-27 16:02:18-08:00
670280,Saratoga,30886,584,2021-02-27 16:02:18-08:00
677000,Sunnyvale,152323,5102,2021-02-27 16:02:18-08:00
610345,Campbell,42470,1896,2021-02-25 21:46:48-08:00
617610,Cupertino,60614,812,2021-02-25 21:46:48-08:00
629504,Gilroy,55525,7222,2021-02-25 21:46:48-08:00
643280,Los Altos,30588,631,2021-02-25 21:46:48-08:00
643294,Los Altos Hills,8517,201,2021-02-25 21:46:48-08:00
644112,Los Gatos,30922,1097,2021-02-25 21:46:48-08:00
647766,Milpitas,77457,3314,2021-02-25 21:46:48-08:00
648956,Monte Sereno,3492,78,2021-02-25 21:46:48-08:00
649278,Morgan Hill,43876,3347,2021-02-25 21:46:48-08:00
649670,Mountain View,80993,2782,2021-02-25 21:46:48-08:00
0,Other/Unknown,0,4194,2021-02-25 21:46:48-08:00
655282,Palo Alto,67019,1358,2021-02-25 21:46:48-08:00
668000,San Jose,1026658,72317,2021-02-25 21:46:48-08:00
669084,Santa Clara,126209,4927,2021-02-25 21:46:48-08:00
